Reward,Length,t,Episode,Loss
0.0,10,24.573426,650,
0.0,29,24.615362,651,
0.0,60,24.637906,652,
0.0,70,24.657967,653,
0.0,53,24.690517,654,
0.0,10,24.717153,655,
0.0,35,24.727244,656,
0.0,11,24.819771,657,
0.0,21,24.819771,658,
0.0,7,24.872685,659,
0.0,16,24.880692,660,
0.0,38,24.901201,661,
0.0,29,24.901201,662,
0.0,33,24.987504,663,
0.0,15,25.013654,664,
0.0,25,25.08498,665,
0.0,27,25.126448,666,
0.0,20,25.157249,667,
0.0,100,25.294614,668,
0.0,58,25.294614,669,
0.0,19,25.300311,670,
0.0,100,25.300311,671,
0.0,19,25.331308,672,
0.0,6,25.341552,673,
0.0,10,25.373016,674,
0.0,47,25.403646,675,
0.0,73,25.445105,676,
0.0,18,25.465595,677,
0.0,36,25.557928,678,
0.0,25,25.557928,679,
0.0,33,25.568218,680,
0.0,64,25.57845,681,
0.0,24,25.57845,682,
0.0,8,25.609284,683,
0.0,14,25.651031,684,
0.0,28,25.660819,685,
0.0,13,25.691401,686,
0.0,13,25.711141,687,
0.0,43,25.782152,688,
0.0,5,25.832547,689,
0.0,79,25.896045,690,
0.0,28,25.906151,691,
0.0,49,25.970815,692,
0.0,23,25.998196,693,
0.0,41,26.040828,694,
0.0,19,26.050581,695,
0.0,10,26.081459,696,
0.0,68,26.099554,697,
0.0,13,26.159113,698,
0.0,73,26.231609,699,
0.0,45,26.241953,700,
0.0,23,26.241953,701,
0.0,45,26.311444,702,
0.0,11,26.334589,703,
0.0,18,26.426277,704,
0.0,94,26.451547,705,
0.0,44,26.487329,706,
0.0,10,26.511601,707,
0.0,55,26.511601,708,
0.0,17,26.652085,709,
0.0,34,26.652085,710,
0.0,28,26.724034,711,
0.0,33,26.728345,712,
0.0,13,26.776119,713,
0.0,18,26.805599,714,
0.0,36,26.815753,715,
0.0,71,26.861904,716,
0.0,7,26.875291,717,
0.0,85,26.897996,718,
0.0,7,26.938557,719,
0.0,27,26.938557,720,
0.0,29,26.978973,721,
0.0,20,27.06031,722,
0.0,31,27.07479,723,
0.0,20,27.141832,724,
0.0,36,27.157797,725,
0.0,28,27.167721,726,
0.0,27,27.173195,727,
0.0,100,27.203126,728,
0.0,14,27.28464,729,
0.0,30,27.447834,730,
0.0,34,27.447834,731,
0.0,45,27.47257,732,
0.0,83,27.488704,733,
0.0,24,27.498713,734,
0.0,10,27.509095,735,
0.0,12,27.539465,736,
0.0,46,27.590657,737,
0.0,65,27.621791,738,
0.0,9,27.621791,739,
0.0,11,27.66694,740,
0.0,30,27.719848,741,
0.0,31,27.860502,742,
0.0,54,27.866533,743,
0.0,28,27.96787,744,
0.0,12,27.975587,745,
0.0,100,28.008303,746,
0.0,75,28.100077,747,
1.0,82,28.192235,748,
0.0,30,28.213067,749,
0.0,40,28.213067,750,
0.0,13,28.316148,751,
0.0,52,28.450049,752,
0.0,100,28.450049,753,
0.0,100,28.501323,754,
0.0,35,28.501323,755,
0.0,11,28.532093,756,
0.0,53,28.532093,757,
0.0,6,28.542278,758,
0.0,71,28.554504,759,
0.0,11,28.57283,760,
0.0,15,28.675551,761,
0.0,60,28.675551,762,
0.0,23,28.716287,763,
0.0,23,28.726544,764,
0.0,26,28.736742,765,
0.0,27,28.808859,766,
0.0,14,28.839896,767,
0.0,19,28.893069,768,
0.0,74,28.92216,769,
0.0,61,28.932727,770,
0.0,38,28.973706,771,
0.0,19,28.994301,772,
0.0,14,28.994301,773,
0.0,7,29.035432,774,
0.0,51,29.122629,775,
0.0,45,29.157301,776,
0.0,34,29.205927,777,
0.0,22,29.214439,778,
0.0,12,29.289698,779,
0.0,49,29.289698,780,
0.0,47,29.372018,781,
0.0,11,29.392287,782,
0.0,90,29.392287,783,
0.0,16,29.43278,784,
0.0,40,29.438904,785,
0.0,35,29.438904,786,
0.0,5,29.473216,787,
0.0,8,29.488786,788,
0.0,8,29.488786,789,
0.0,22,29.533928,790,
0.0,7,29.548046,791,
0.0,21,29.548046,792,
0.0,27,29.584786,793,
0.0,77,29.584786,794,
0.0,7,29.584786,795,
0.0,21,29.614805,796,
0.0,30,29.685686,797,
0.0,19,29.706266,798,
0.0,18,29.71873,799,
0.0,36,29.778531,800,
0.0,17,29.818599,801,
0.0,17,29.829122,802,
0.0,36,29.829122,803,
0.0,38,29.849523,804,
0.0,22,29.882729,805,
0.0,15,29.914579,806,
0.0,100,29.914579,807,
0.0,57,29.92066,808,
0.0,15,29.951693,809,
0.0,28,30.038282,810,
0.0,29,30.043146,811,
0.0,17,30.084003,812,
0.0,21,30.156872,813,
0.0,14,30.196945,814,
0.0,18,30.246436,815,
0.0,9,30.246436,816,
0.0,37,30.261562,817,
0.0,63,30.309767,818,
0.0,7,30.309767,819,
0.0,49,30.358976,820,
0.0,13,30.424545,821,
0.0,39,30.430536,822,
0.0,25,30.445976,823,
0.0,15,30.445976,824,
0.0,31,30.490642,825,
0.0,11,30.521367,826,
0.0,15,30.531454,827,
0.0,15,30.535058,828,
0.0,46,30.551454,829,
0.0,40,30.654386,830,
0.0,96,30.662833,831,
0.0,34,30.662833,832,
0.0,6,30.70542,833,
0.0,28,30.713534,834,
0.0,35,30.816139,835,
0.0,18,30.816139,836,
0.0,9,30.816139,837,
0.0,33,30.826237,838,
0.0,46,30.856441,839,
0.0,15,30.950859,840,
0.0,32,30.997883,841,
0.0,60,31.018258,842,
0.0,29,31.058677,843,
0.0,10,31.079232,844,
0.0,47,31.190815,845,
0.0,21,31.190815,846,
0.0,53,31.231882,847,
0.0,51,31.247953,848,
0.0,51,31.34482,849,
0.0,84,31.381473,850,
0.0,24,31.38856,851,
0.0,18,31.38856,852,
0.0,13,31.447132,853,
0.0,12,31.477805,854,
0.0,43,31.528978,855,
0.0,12,31.539128,856,
0.0,61,31.539128,857,
0.0,28,31.609914,858,
0.0,30,31.629781,859,
0.0,6,31.691664,860,
0.0,12,31.702091,861,
0.0,20,31.702091,862,
0.0,77,31.866101,863,
0.0,100,31.866101,864,
0.0,50,31.87624,865,
0.0,44,31.87624,866,
0.0,28,31.87624,867,
0.0,45,31.886559,868,
0.0,27,31.907217,869,
0.0,10,31.951923,870,
0.0,17,31.988974,871,
0.0,23,32.081053,872,
0.0,46,32.081053,873,
0.0,35,32.162808,874,
0.0,38,32.17234,875,
0.0,40,32.244316,876,
0.0,21,32.244316,877,
0.0,30,32.264679,878,
0.0,49,32.295336,879,
0.0,8,32.355847,880,
0.0,46,32.355847,881,
0.0,17,32.375926,882,
0.0,7,32.405982,883,
0.0,12,32.436198,884,
0.0,6,32.477059,885,
0.0,43,32.501393,886,
0.0,43,32.53885,887,
0.0,13,32.572194,888,
0.0,24,32.572194,889,
0.0,10,32.572194,890,
0.0,16,32.640167,891,
0.0,20,32.711229,892,
0.0,93,32.751186,893,
1.0,60,32.791653,894,
0.0,81,32.83243,895,
0.0,11,32.873179,896,
0.0,100,32.88331,897,
0.0,8,32.93119,898,
0.0,40,33.005513,899,
0.0,23,33.005513,900,
0.0,54,33.045963,901,
0.0,29,33.086664,902,
0.0,6,33.092714,903,
0.0,73,33.092714,904,
0.0,32,33.229866,905,
0.0,27,33.292866,906,
0.0,99,33.292866,907,
0.0,82,33.372689,908,
0.0,19,33.393106,909,
0.0,43,33.432948,910,
0.0,15,33.504498,911,
0.0,72,33.556219,912,
0.0,10,33.587138,913,
0.0,20,33.5974,914,
0.0,43,33.638718,915,
0.0,46,33.66931,916,
0.0,13,33.700211,917,
0.0,100,33.710442,918,
0.0,43,33.741047,919,
0.0,25,33.751183,920,
0.0,15,33.833573,921,
0.0,13,33.833573,922,
0.0,36,33.863806,923,
0.0,100,33.88424,924,
0.0,36,33.945801,925,
0.0,23,33.997334,926,
0.0,5,34.01794,927,
0.0,36,34.03872,928,
0.0,16,34.048901,929,
0.0,47,34.099478,930,
0.0,11,34.126565,931,
0.0,15,34.130507,932,
0.0,22,34.22238,933,
0.0,49,34.283601,934,
0.0,28,34.324001,935,
0.0,33,34.34639,936,
0.0,21,34.385338,937,
0.0,48,34.411491,938,
0.0,13,34.497612,939,
0.0,19,34.518488,940,
0.0,28,34.528761,941,
0.0,82,34.560513,942,
0.0,76,34.560513,943,
0.0,13,34.69068,944,
0.0,35,34.735873,945,
0.0,28,34.764931,946,
0.0,26,34.766936,947,
0.0,54,34.818702,948,
0.0,10,34.818702,949,
0.0,84,34.825629,950,
0.0,21,34.866444,951,
0.0,15,34.897062,952,
0.0,15,34.897062,953,
0.0,42,34.939044,954,
0.0,10,34.947242,955,
0.0,50,34.967555,956,
0.0,12,34.987147,957,
0.0,20,34.987147,958,
0.0,12,35.059211,959,
0.0,33,35.089559,960,
0.0,27,35.100194,961,
0.0,24,35.13064,962,
0.0,10,35.17078,963,
0.0,23,35.180912,964,
0.0,27,35.221203,965,
0.0,50,35.242002,966,
0.0,5,35.262513,967,
0.0,26,35.275035,968,
0.0,20,35.304685,969,
0.0,11,35.345092,970,
0.0,24,35.497663,971,
0.0,37,35.507982,972,
0.0,42,35.548611,973,
0.0,40,35.589444,974,
0.0,16,35.609999,975,
0.0,59,35.609999,976,
0.0,33,35.646386,977,
0.0,43,35.660822,978,
0.0,19,35.691263,979,
0.0,5,35.701272,980,
0.0,94,35.741351,981,
0.0,19,35.761493,982,
1.0,33,35.761493,983,
0.0,31,35.82112,984,
0.0,21,35.892095,985,
0.0,41,35.940188,986,
0.0,18,35.955232,987,
0.0,36,35.994855,988,
0.0,36,36.08623,989,
0.0,22,36.147329,990,
0.0,61,36.147329,991,
0.0,25,36.208947,992,
0.0,21,36.291008,993,
